article_id,url,pub_date,section,subsection,headline,abstract,news_desk,type_of_material,keywords,comments_total,sentiment_mean_textblob
587cb5e695d0e0392607af06,,2017-01-16 12:00:30,,,"For de Blasio,  Donation Size May Be Key to Re-election",,,,"['Campaign Finance', 'de Blasio, Bill', 'Elections, Mayors', 'Rent Stabilization Assn', 'StudentsFirst', 'Uber Technologies Inc', 'New York City']",29,0.0787423818427513
587deb3295d0e0392607b152,,2017-01-17 10:00:04,,,‘I Wish to Hell I’d Just Kept Saying the Exact Same Thing’,,,,"['Biden, Joseph R Jr', 'Presidential Election of 2016', 'Trump, Donald J', 'Democratic Party', 'Cancer', 'United States Politics and Government', 'United States International Relations']",754,0.1445713775790096
587ecaa795d0e0392607b411,,2017-01-18 01:53:31,,,DeVos’s Education Hearing Erupts Into Partisan Debate,,,,"['DeVos, Elizabeth (1958- )', 'Education (K-12)', 'Private and Sectarian Schools', 'Vouchers', 'Charter Schools', 'Trump, Donald J']",521,0.08704714540764172
587f3cab95d0e0392607b500,,2017-01-18 10:00:03,,,Arm’s Length,,,,"['United States Politics and Government', 'Endorsements', 'Trump, Donald J', 'Duke, David E', 'English Language']",23,0.10993961352657004
587fb8b795d0e0392607b6bf,,2017-01-18 18:49:22,,,Fake News? Welcome to ‘False Remembering’,,,,"['Rumors and Misinformation', 'News and News Media', 'Presidential Election of 2016']",72,0.013978801077356523
58802bc495d0e0392607b842,,2017-01-19 03:00:14,,,Liability for a Political Candidate,,,,['Crossword Puzzles'],63,0.15647753559992697
588080a595d0e0392607b8e6,,2017-01-19 09:02:25,,,What Does Vladimir Putin See in Donald Trump?,,,,"['Trump, Donald J', 'Putin, Vladimir V', 'Russia', 'Presidential Election of 2016', 'Republican Party', 'Manafort, Paul J']",426,0.09536250611673001
5881c97695d0e0392607bce6,,2017-01-20 08:25:19,,,Optimistic Disapproval Entering Day 1,,,,"['Presidential Election of 2016', 'Trump, Donald J', 'Polls and Public Opinion', 'United States Politics and Government']",110,0.10141425867335034
58861d1595d0e0392607c44d,,2017-01-21 15:50:50,,,Unknown,Will voters notice when things really do get worse?,,,['News'],156,0.06768073809828774
5883bde695d0e0392607c0ae,,2017-01-21 20:00:30,,,The America We Lost When Trump Won,,,,"['Trump, Donald J', 'Presidential Election of 2016', 'United States Politics and Government', 'Social Conditions and Trends']",347,0.09010943929932574
5886b21995d0e0392607c5ea,,2017-01-24 01:46:57,,,"Meeting With Top Lawmakers, Trump Repeats an Election Lie",,,,"['Trump, Donald J', 'United States Politics and Government', 'Presidential Election of 2016', 'House of Representatives', 'Senate']",2137,0.0624928105502743
5887002995d0e0392607c666,,2017-01-24 07:20:04,,,Mandatory Voting?,,,,[],5,0.23414594928880642
5887771295d0e0392607c7c9,,2017-01-24 15:47:21,,,Women Who Voted for Donald Trump: How I Reported on Their Thoughts,,,,"['Presidential Election of 2016', 'Women and Girls', 'United States Politics and Government', 'Facebook Inc', 'Trump, Donald J', 'Detroit (Mich)', 'Social Media', 'Voting and Voters']",102,0.05241475129928379
588a2ddf95d0e0392607cf70,,2017-01-26 17:11:49,,,"Illegal Voting Claims, and Why They Don’t Hold Up",,,,"['Voter Registration and Requirements', 'Trump, Donald J', 'Presidential Election of 2016', 'Frauds and Swindling']",195,0.0714486986313805
588b1a3e95d0e0392607d1e1,,2017-01-27 10:00:25,,,"Friday Mailbag: Measuring Crowds, Maligning a Region",,,,"['Presidential Election of 2016', 'United States Politics and Government', 'Inaugurations', 'Child Abuse and Neglect', 'Women and Girls', 'News and News Media', 'Children and Childhood', 'Elections, State Legislature', 'Sex Crimes', 'Demonstrations, Protests and Riots', 'New York Times', 'Brown, Sherrod', 'Trump, Donald J', 'Kelly, Megyn', 'Fiorina, Carleton S', 'Canada', 'Washington (DC)', 'United States']",107,0.10774315660384787
588b73ef95d0e0392607d2d4,,2017-01-27 16:23:08,,,The Religious Right’s Trojan Horse,,,,"['United States Politics and Government', 'Presidential Election of 2016', 'Religion-State Relations', 'Christians and Christianity', 'Abortion', 'Birth Control and Family Planning', 'Faith-Based Initiatives', 'Conservatism (US Politics)', 'Justice Department', 'Planned Parenthood Federation of America', 'Bush, George W', 'DeVos, Elizabeth (1958- )', 'Carson, Benjamin S', 'Falwell, Jerry Jr (1962- )', 'Flynn, Michael T', 'Pence, Mike', 'Pompeo, Mike', 'Sessions, Jefferson B III', 'Trump, Donald J']",633,0.0739062924668123
588c107f95d0e0392607d471,,2017-01-28 03:31:07,,,The Voter Fraud Fantasy,,,,"['Trump, Donald J', 'Sessions, Jefferson B III', 'Voter Registration and Requirements', 'Frauds and Swindling', 'Voting Rights Act (1965)', 'United States Politics and Government', 'Minorities', 'Justice Department', 'Republican Party']",406,0.05670617312822725
588cf15395d0e0392607d570,,2017-01-28 19:30:21,,,"Live From the White House, It’s Trump TV",,,,"['Trump, Donald J', 'Bannon, Stephen K', 'News and News Media', 'United States Politics and Government', 'Presidential Election of 2016']",384,0.06086448560898336
589135b595d0e0392607de02,,2017-02-01 01:11:09,,,Unknown,,,,"['Gorsuch, Neil M', 'Supreme Court (US)', 'Senate', 'Democratic Party', 'Republican Party', 'Filibusters and Debate Curbs', 'United States Politics and Government', 'Trump, Donald J']",1057,0.07533582807890891
5891475495d0e0392607de2c,,2017-02-01 02:26:19,,,The Supreme Court Meets Reality TV,,,,"['Elections, Courts and the Judiciary', 'Reality Television', 'Trump, Donald J', 'Supreme Court (US)', 'Beauty Contests']",215,0.03930061850123773
5891b8ca95d0e0392607df28,,2017-02-01 10:30:26,,,Immigrant Shock: California Offers Hint of Nation’s Future,,,,"['Immigration and Emigration', 'United States Politics and Government', 'California', 'Illegal Immigration', 'Politics and Government', 'Presidential Election of 2016']",163,0.0771500376785333
5892f5be95d0e0392607e2ac,,2017-02-02 09:02:47,,,The Peculiar Populism of Donald Trump,,,,"['Presidential Election of 2016', 'Income Inequality', 'Center for American Progress', 'Trump, Donald J']",384,0.07046432268823023
589470d295d0e0392607e6fb,,2017-02-03 12:00:15,,,"In Gillibrand,  2020 Foresight?",,,,"['Presidential Election of 2020', 'United States Politics and Government', 'Gillibrand, Kirsten E', 'Schumer, Charles E', 'Trump, Donald J', 'New York State']",513,0.11838316588735491
5895ff0a95d0e0392607ea0c,,2017-02-04 16:19:16,,,Revisiting The Apollo,,,,"['Voter Registration and Requirements', 'Civil Rights Movement (1954-68)', 'New York Times', 'Student Nonviolent Coordinating Committee (SNCC)', 'Sitton, Claude (1925-2015)', 'Evers, Medgar', 'Mississippi']",33,0.11936713263333018
58999aaf95d0e0392607efc9,,2017-02-07 10:00:06,,,Forces in Opposition,,,,"[""Women's Rights"", 'Trump, Donald J', 'United States Politics and Government', 'Clinton, Hillary Rodham', 'Demonstrations, Protests and Riots', 'Women and Girls', 'Presidential Election of 2016', 'Race and Ethnicity', 'Democratic Party']",366,0.08981942347857452
5899b89e95d0e0392607f020,,2017-02-07 12:07:49,,,Debate Flares Over China’s Inclusion at Vatican Organ Trafficking Meeting,,,,"['Organ Donation', 'Transplants', 'Human Rights and Human Rights Violations', 'Roman Catholic Church', 'Huang Jiefu', 'China']",11,0.018514159451659448
589bdb3b95d0e024746354ae,,2017-02-09 03:00:04,,,Being Outsiders Is Their Bond,,,,"['Theater', 'Fade (Play)', 'Saracho, Tanya', 'Primary Stages Co', 'Ruiz, Jerry', 'Martinez, Eddie (1981- )', 'Dow, Annie']",2,0.38541666666666663
589c267795d0e0247463553e,,2017-02-09 08:21:03,,,Trump’s Leading Rivals Wear Robes,,,,"['United States Politics and Government', 'Citizens United v Federal Election Commission (Supreme Court Decision)', 'State of the Union Message (US)', 'Courts and the Judiciary', 'Trump, Donald J', 'Curiel, Gonzalo P']",581,0.05262258839370085
589c3dae95d0e02474635584,,2017-02-09 10:00:03,,,The Immortality Campaign,,,,"['California', 'Istvan, Zoltan', 'Death and Dying', 'Politics and Government', 'Science and Technology']",119,0.10216766619249386
589d780995d0e024746358f1,,2017-02-10 08:21:20,,,A Game Plan for Senate Democrats,,,,"['United States Politics and Government', 'Filibusters and Debate Curbs', 'Democratic Party', 'Senate', 'Republican Party', 'McConnell, Mitch', 'Trump, Donald J']",291,0.08349482416402572
589f663f95d0e02474635d58,,2017-02-11 19:30:03,,,Using a Myth to Hold On to Power,,,,"['Republican Party', 'Voter Registration and Requirements', 'Frauds and Swindling', 'United States Politics and Government', 'Trump, Donald J', 'Voting Rights Act (1965)', 'Supreme Court (US)', 'Sessions, Jefferson B III']",527,0.06605181105949648
58a36f8495d0e02474636715,,2017-02-14 20:58:41,,,What Trump Is Doing Is Not O.K.,,,,"['Trump, Donald J', 'Russia', 'Flynn, Michael G (1983- )', 'United States Politics and Government', 'Cyberwarfare and Defense', 'Presidential Election of 2016']",1147,0.07345469048004796
